epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,28.3053,1.25132,3.19069,0.30434,0.8946,1.34274,0.26863,0.14286,0.19078,0.12789,0.02326,0.14286,0.0231,0.00781,2.20904,8.05086,0.62792,3.21187,2.0534,0.000457512,0.000457512,0.000457512
68,28.6794,0.9024,1.88681,0.32406,0.63507,1.14645,0.26863,0.14286,0.19078,0.12789,0.02326,0.14286,0.0231,0.00781,2.20904,8.05086,0.62792,3.21187,2.0534,0.000451178,0.000451178,0.000451178
69,29.0808,1.06391,2.42914,0.31484,0.70701,1.18901,0.22396,0.21429,0.20557,0.11834,0.10344,0.07143,0.03457,0.01193,2.3315,8.07709,0.61217,3.11388,2.12684,0.000444448,0.000444448,0.000444448
70,29.4418,0.8311,2.17678,0.2688,0.77921,0.99818,0.22396,0.21429,0.20557,0.11834,0.10344,0.07143,0.03457,0.01193,2.3315,8.07709,0.61217,3.11388,2.12684,0.000437322,0.000437322,0.000437322
71,29.8191,0.87622,2.75884,0.30011,0.68429,1.05523,0.22396,0.21429,0.20557,0.11834,0.10344,0.07143,0.03457,0.01193,2.3315,8.07709,0.61217,3.11388,2.12684,0.0004298,0.0004298,0.0004298
72,30.3917,0.91688,2.48355,0.31134,0.74622,1.08513,0.23008,0.21429,0.21196,0.12325,0.21426,0.07143,0.04023,0.01915,2.53428,8.10187,0.62386,3.10791,2.30528,0.000421882,0.000421882,0.000421882
73,30.9681,0.78227,2.40079,0.30833,0.59734,1.05283,0.23008,0.21429,0.21196,0.12325,0.21426,0.07143,0.04023,0.01915,2.53428,8.10187,0.62386,3.10791,2.30528,0.000413568,0.000413568,0.000413568
74,32.7746,0.77905,2.09428,0.29219,0.62147,1.02412,0.23008,0.21429,0.21196,0.12325,0.21426,0.07143,0.04023,0.01915,2.53428,8.10187,0.62386,3.10791,2.30528,0.000404858,0.000404858,0.000404858
75,33.1813,1.08623,3.70029,0.32923,0.83923,1.16268,0.89516,0.14286,0.25534,0.14768,0.42715,0.07143,0.06177,0.0316,2.54481,7.82766,0.62537,2.91553,2.22762,0.000395752,0.000395752,0.000395752
76,33.5597,0.58912,1.36848,0.26724,0.53818,0.9074,0.89516,0.14286,0.25534,0.14768,0.42715,0.07143,0.06177,0.0316,2.54481,7.82766,0.62537,2.91553,2.22762,0.00038625,0.00038625,0.00038625
77,33.9212,0.89999,2.11064,0.23817,0.76345,1.0864,0.89516,0.14286,0.25534,0.14768,0.42715,0.07143,0.06177,0.0316,2.54481,7.82766,0.62537,2.91553,2.22762,0.000376352,0.000376352,0.000376352
78,34.3334,1.22376,3.26372,0.35265,0.87571,1.26881,0.30133,0.28571,0.2891,0.15564,0.43434,0.07143,0.0669,0.03404,2.46579,7.80154,0.63862,2.84528,2.15939,0.000366058,0.000366058,0.000366058
79,34.7152,0.72737,2.65843,0.2829,0.60824,1.02585,0.30133,0.28571,0.2891,0.15564,0.43434,0.07143,0.0669,0.03404,2.46579,7.80154,0.63862,2.84528,2.15939,0.000355368,0.000355368,0.000355368
80,35.0939,0.77587,1.41201,0.30843,0.58293,0.88641,0.30133,0.28571,0.2891,0.15564,0.43434,0.07143,0.0669,0.03404,2.46579,7.80154,0.63862,2.84528,2.15939,0.000344282,0.000344282,0.000344282
81,35.5978,0.86821,2.26143,0.34006,0.73144,1.13317,0.3355,0.28874,0.34155,0.17394,0.43344,0.07143,0.07089,0.0356,2.39824,7.91932,0.63599,2.82606,2.13911,0.0003328,0.0003328,0.0003328
82,35.9619,0.53076,1.39157,0.19272,0.47682,0.91598,0.3355,0.28874,0.34155,0.17394,0.43344,0.07143,0.07089,0.0356,2.39824,7.91932,0.63599,2.82606,2.13911,0.000320922,0.000320922,0.000320922
83,36.3595,0.75493,1.91559,0.32642,0.6589,1.08588,0.3355,0.28874,0.34155,0.17394,0.43344,0.07143,0.07089,0.0356,2.39824,7.91932,0.63599,2.82606,2.13911,0.000308648,0.000308648,0.000308648
84,36.7288,0.81373,3.04991,0.29441,0.72345,1.12994,0.41776,0.42857,0.35271,0.18012,0.13925,0.14286,0.07536,0.03556,2.38823,8.01076,0.65291,2.89251,2.13426,0.000295978,0.000295978,0.000295978
85,37.0974,0.66865,1.26053,0.26549,0.48462,0.90806,0.41776,0.42857,0.35271,0.18012,0.13925,0.14286,0.07536,0.03556,2.38823,8.01076,0.65291,2.89251,2.13426,0.000282912,0.000282912,0.000282912
86,37.4595,0.71001,2.52395,0.24676,0.61998,1.04834,0.41776,0.42857,0.35271,0.18012,0.13925,0.14286,0.07536,0.03556,2.38823,8.01076,0.65291,2.89251,2.13426,0.00026945,0.00026945,0.00026945
