epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,22.5714,0.69909,2.08001,1.29555,1.16465,0.90391,0.38364,0.48847,0.28319,0.82899,0.31446,0.35989,0.24518,1.68043,2.69039,1.87108,1.40798,2.9552e-05,2.9552e-05,2.9552e-05
46,22.967,0.88542,1.80688,1.18874,1.12821,0.90391,0.38364,0.48847,0.28319,0.82899,0.31446,0.35989,0.24518,1.68043,2.69039,1.87108,1.40798,2.96935e-05,2.96935e-05,2.96935e-05
47,23.3909,0.90843,1.97298,1.69513,1.19119,0.93241,0.3663,0.47095,0.29318,0.93241,0.3663,0.46323,0.25709,1.69602,2.70144,1.92841,1.41218,2.98114e-05,2.98114e-05,2.98114e-05
48,23.8079,0.67434,1.51859,0.88118,1.05511,0.93241,0.3663,0.47095,0.29318,0.93241,0.3663,0.46323,0.25709,1.69602,2.70144,1.92841,1.41218,2.99058e-05,2.99058e-05,2.99058e-05
49,24.2322,0.74908,1.93526,0.90326,1.08783,0.93408,0.36585,0.43009,0.27894,0.93408,0.36585,0.42062,0.2322,1.71404,2.71785,1.92077,1.41959,2.99766e-05,2.99766e-05,2.99766e-05
50,24.6708,0.6815,1.85018,0.90874,1.07279,0.93408,0.36585,0.43009,0.27894,0.93408,0.36585,0.42062,0.2322,1.71404,2.71785,1.92077,1.41959,3.00238e-05,3.00238e-05,3.00238e-05
51,25.0733,0.6616,1.79977,0.82916,1.03952,0.93383,0.36589,0.43005,0.27607,0.93383,0.36589,0.42058,0.23265,1.73138,2.72045,1.92938,1.42642,3.00475e-05,3.00475e-05,3.00475e-05
52,25.4936,0.78482,1.96159,1.27201,1.11328,0.93383,0.36589,0.43005,0.27607,0.93383,0.36589,0.42058,0.23265,1.73138,2.72045,1.92938,1.42642,3.00476e-05,3.00476e-05,3.00476e-05
53,25.9093,0.61738,1.95825,0.7457,1.0143,0.93383,0.36589,0.43005,0.27607,0.93383,0.36589,0.42058,0.23265,1.73138,2.72045,1.92938,1.42642,3.00242e-05,3.00242e-05,3.00242e-05
54,26.3364,0.67994,1.54469,0.74018,1.11069,0.93427,0.3657,0.42828,0.27149,0.93799,0.36544,0.41093,0.22801,1.73939,2.71783,1.96262,1.43975,2.99772e-05,2.99772e-05,2.99772e-05
55,26.7331,0.6851,1.97804,0.99347,1.07517,0.93427,0.3657,0.42828,0.27149,0.93799,0.36544,0.41093,0.22801,1.73939,2.71783,1.96262,1.43975,2.99066e-05,2.99066e-05,2.99066e-05
56,27.5278,0.56659,1.27986,0.76081,1.04224,0.93427,0.3657,0.42828,0.27149,0.93799,0.36544,0.41093,0.22801,1.73939,2.71783,1.96262,1.43975,2.98125e-05,2.98125e-05,2.98125e-05
57,28.9971,0.65081,1.615,0.67618,1.00779,0.89696,0.38078,0.42759,0.27295,0.93344,0.36583,0.41167,0.24485,1.73068,2.73959,2.00936,1.44651,2.96948e-05,2.96948e-05,2.96948e-05
58,29.4104,0.5455,1.46866,0.63358,1.0586,0.89696,0.38078,0.42759,0.27295,0.93344,0.36583,0.41167,0.24485,1.73068,2.73959,2.00936,1.44651,2.95535e-05,2.95535e-05,2.95535e-05
59,29.8024,0.83014,1.8654,0.97508,1.06987,0.89696,0.38078,0.42759,0.27295,0.93344,0.36583,0.41167,0.24485,1.73068,2.73959,2.00936,1.44651,2.93887e-05,2.93887e-05,2.93887e-05
